"","nm","m1","bw","m2","focr","focr_se","fdr","fdr_se","pwr","pwr_se","mu_type","cov_type","snr"
"86","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.00153822188918828,0.000102775068667887,0.533392963625522,0.000451445390261807,"sine","iid",0.230769230769231
"87","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.00337013386451479,0.000137923191568041,0.595945140131187,0.000474396186635507,"sine","iid",0.230769230769231
"88","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.00240139296488233,0.000134295536596801,0.585867620751342,0.000489912842133422,"sine","iid",0.230769230769231
"89","FOCR-D3-RAW","FOCR (disjoint)","3","",0.020192973910691,0.00045385125703269,0.020564589178326,0.00044650607833794,0.624627310673822,0.000684398570610808,"sine","iid",0.230769230769231
"90","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.000911564248330371,7.28145449561895e-05,0.51484794275492,0.000506076729361737,"sine","iid",0.230769230769231
"91","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0.00168185752454834,8.9924644142925e-05,0.564281454979129,0.000540130404683531,"sine","iid",0.230769230769231
"92","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0.000848310633810661,7.30739367633214e-05,0.555277280858676,0.000586475472139592,"sine","iid",0.230769230769231
"93","FOCR-O11-RAW","FOCR (overlap)","11","",0.0104308073770947,0.000361151379754393,0.050285929491509,0.000975076568343644,0.820572450805009,0.000798666806291869,"sine","iid",0.230769230769231
"94","FOCR-O11-BH","FOCR (overlap)","11","BH",NA,NA,0.00335144384091369,0.000145363214227725,0.549254621347645,0.000455339641994132,"sine","iid",0.230769230769231
"95","FOCR-O11-LAWS","FOCR (overlap)","11","LAWS",NA,NA,0.00173555654410829,9.67130930934735e-05,0.615861657722123,0.000458679897925079,"sine","iid",0.230769230769231
"96","FOCR-O11-SABHA","FOCR (overlap)","11","SABHA",NA,NA,0.0022793504208209,0.000109083725512214,0.595348837209302,0.000489825238135048,"sine","iid",0.230769230769231
"97","FOCR-D11-RAW","FOCR (disjoint)","11","",0.0128579263078621,0.000578232567618813,0.0159309533282576,0.000621927468282948,0.721168753726893,0.000918161395871322,"sine","iid",0.230769230769231
"98","FOCR-D11-BH","FOCR (disjoint)","11","BH",NA,NA,0.00065861849342829,6.6987864361945e-05,0.543530113297555,0.000406272432776225,"sine","iid",0.230769230769231
"99","FOCR-D11-LAWS","FOCR (disjoint)","11","LAWS",NA,NA,0.00019782393669634,3.61175441810199e-05,0.59087656529517,0.000529924654076927,"sine","iid",0.230769230769231
"100","FOCR-D11-SABHA","FOCR (disjoint)","11","SABHA",NA,NA,0.000205761316872428,3.75667049043324e-05,0.57262969588551,0.000488559489155345,"sine","iid",0.230769230769231
"101","FOCR-O21-RAW","FOCR (overlap)","21","",0.00505335720513642,0.000303351193908683,0.102903199146066,0.000893989068802017,0.89469290399523,0.000870590060011367,"sine","iid",0.230769230769231
"102","FOCR-O21-BH","FOCR (overlap)","21","BH",NA,NA,0.00615084762306288,0.000172950251233231,0.545557543231962,0.00047742344217387,"sine","iid",0.230769230769231
"103","FOCR-O21-LAWS","FOCR (overlap)","21","LAWS",NA,NA,0.00184416480465273,9.70680304665106e-05,0.60912343470483,0.000456487114413408,"sine","iid",0.230769230769231
"104","FOCR-O21-SABHA","FOCR (overlap)","21","SABHA",NA,NA,0.00430997332780186,0.000150571063630807,0.587537268932618,0.000485370150537727,"sine","iid",0.230769230769231
"105","FOCR-D21-RAW","FOCR (disjoint)","21","",0.00526559646811363,0.000463611562364956,0.0458967371845763,0.000447953621789477,0.787895050685748,0.000911587643257504,"sine","iid",0.230769230769231
"106","FOCR-D21-BH","FOCR (disjoint)","21","BH",NA,NA,0.00270629588476116,8.5714667634533e-05,0.548002385211688,0.000450969838817056,"sine","iid",0.230769230769231
"107","FOCR-D21-LAWS","FOCR (disjoint)","21","LAWS",NA,NA,0.000499147767507411,4.57315996981827e-05,0.589803220035778,0.000381064773177764,"sine","iid",0.230769230769231
"108","FOCR-D21-SABHA","FOCR (disjoint)","21","SABHA",NA,NA,0.00114897684329347,6.39423370691221e-05,0.570900417412045,0.000459427775113878,"sine","iid",0.230769230769231
"109","BH","BH","","",NA,NA,0.0253226779577283,0.00027380109528226,0.552653548002385,0.000538368233991858,"sine","iid",0.25
"110","LAWS","LAWS","","",NA,NA,0.0267439919188666,0.000330505299084111,0.592307692307692,0.000446053607919784,"sine","iid",0.25
"111","SABHA","SABHA","","",NA,NA,0.0364968612401207,0.000318082787641297,0.590041741204532,0.000444327664914919,"sine","iid",0.25
"112","FOCR-O3-RAW","FOCR (overlap)","3","",0.0215402149422502,0.00036710028807443,0.0403981029980577,0.000612120640635098,0.699284436493739,0.000667210882238239,"sine","iid",0.25
"113","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.00200510174977718,0.000105116907285722,0.564162194394753,0.000507548465959073,"sine","iid",0.25
"114","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.00465067368410015,0.000127158283853999,0.620035778175313,0.000505640435342778,"sine","iid",0.25
"115","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.00289776512092029,0.000110561660075653,0.611568276684556,0.000499083013523549,"sine","iid",0.25
"116","FOCR-D3-RAW","FOCR (disjoint)","3","",0.0200963235905487,0.000362453313141553,0.0200963235905487,0.000362453313141553,0.650983899821109,0.000499725452763512,"sine","iid",0.25
"117","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.00099028653025848,8.71404423997174e-05,0.542397137745975,0.000520174940404737,"sine","iid",0.25
"118","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0.00151351053658585,8.71383856390004e-05,0.587895050685748,0.000493586450329814,"sine","iid",0.25
"119","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0.00113067189738915,8.3136233026106e-05,0.578950506857484,0.000502205616524019,"sine","iid",0.25
