"","nm","m1","bw","m2","focr","focr_se","fdr","fdr_se","pwr","pwr_se","mu_type","cov_type","snr"
"46","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0.005,0.000790569415042095,0.0108523725834798,0.000704878342596956,"step","matern",0.144444444444444
"47","FOCR-O11-RAW","FOCR (overlap)","11","",0.00303030303030303,0.000479132978813391,0.00804605802995785,0.000853444225579599,0.0376977152899824,0.00175352035968381,"step","matern",0.144444444444444
"48","FOCR-O11-BH","FOCR (overlap)","11","BH",NA,NA,0.00512048192771084,0.000809619280464796,0.0357205623901582,0.00167339774676716,"step","matern",0.144444444444444
"49","FOCR-O11-LAWS","FOCR (overlap)","11","LAWS",NA,NA,0.00543895326529046,0.000809894007774344,0.0357205623901582,0.00167339774676716,"step","matern",0.144444444444444
"50","FOCR-O11-SABHA","FOCR (overlap)","11","SABHA",NA,NA,0.00487012987012987,0.000770035144521521,0.0326449912126538,0.0015758245377429,"step","matern",0.144444444444444
"51","FOCR-D11-RAW","FOCR (disjoint)","11","",0.01125,0.00124959929474848,0.0164015151515151,0.00149513013753647,0.0310632688927944,0.00128360470105532,"step","matern",0.144444444444444
"52","FOCR-D11-BH","FOCR (disjoint)","11","BH",NA,NA,0.0177272727272727,0.00203666201402093,0.0271968365553603,0.0012740675935631,"step","matern",0.144444444444444
"53","FOCR-D11-LAWS","FOCR (disjoint)","11","LAWS",NA,NA,0.0177272727272727,0.00203666201402093,0.0272407732864675,0.00127391266713431,"step","matern",0.144444444444444
"54","FOCR-D11-SABHA","FOCR (disjoint)","11","SABHA",NA,NA,0.00636363636363636,0.00100617925550812,0.0257908611599297,0.00125348137155647,"step","matern",0.144444444444444
"55","FOCR-O21-RAW","FOCR (overlap)","21","",0.00105633802816901,0.000167021707403259,0.0209383076569611,0.00146614600127642,0.0527240773286467,0.00220883569051055,"step","matern",0.144444444444444
"56","FOCR-O21-BH","FOCR (overlap)","21","BH",NA,NA,0.0114729894042036,0.00129897572741249,0.0480228471001757,0.0019638113925861,"step","matern",0.144444444444444
"57","FOCR-O21-LAWS","FOCR (overlap)","21","LAWS",NA,NA,0.0123357822661228,0.00131622441885982,0.0487697715289982,0.00200897315973121,"step","matern",0.144444444444444
"58","FOCR-O21-SABHA","FOCR (overlap)","21","SABHA",NA,NA,0.00978343465045593,0.00108403688205946,0.0402460456942004,0.00170688433222818,"step","matern",0.144444444444444
"59","FOCR-D21-RAW","FOCR (disjoint)","21","",0.00833333333333333,0.00131761569173682,0.0168820861678005,0.00141511321704872,0.0449033391915641,0.00164726912421722,"step","matern",0.144444444444444
"60","FOCR-D21-BH","FOCR (disjoint)","21","BH",NA,NA,0.00997267759562842,0.00133633191595219,0.0370826010544815,0.0014033959710376,"step","matern",0.144444444444444
"61","FOCR-D21-LAWS","FOCR (disjoint)","21","LAWS",NA,NA,0.010337641099278,0.0013358318432705,0.0372144112478032,0.00140755480480038,"step","matern",0.144444444444444
"62","FOCR-D21-SABHA","FOCR (disjoint)","21","SABHA",NA,NA,0.00185185185185185,0.000292803487052628,0.032469244288225,0.00130272782943307,"step","matern",0.144444444444444
"63","FOCR-O41-RAW","FOCR (overlap)","41","",0,0,0.0443921547160406,0.0021079999507933,0.103427065026362,0.00380849840917963,"step","matern",0.144444444444444
"64","FOCR-O41-BH","FOCR (overlap)","41","BH",NA,NA,0.0126587573385519,0.00125912690532739,0.0679261862917399,0.00238025998903512,"step","matern",0.144444444444444
"65","FOCR-O41-LAWS","FOCR (overlap)","41","LAWS",NA,NA,0.0144086606608914,0.00129842432181568,0.0807557117750439,0.0029376416508554,"step","matern",0.144444444444444
"66","FOCR-O41-SABHA","FOCR (overlap)","41","SABHA",NA,NA,0.00936392945434157,0.000978045491658251,0.0613356766256591,0.00244436661857195,"step","matern",0.144444444444444
"67","FOCR-D41-RAW","FOCR (disjoint)","41","",0,0,0.0284552845528455,0.00356185813918362,0.0797451669595782,0.0028640598036936,"step","matern",0.144444444444444
"68","FOCR-D41-BH","FOCR (disjoint)","41","BH",NA,NA,0.0234756097560976,0.00356642667446883,0.0646309314586995,0.00226384854971833,"step","matern",0.144444444444444
"69","FOCR-D41-LAWS","FOCR (disjoint)","41","LAWS",NA,NA,0.0236998250027343,0.0035656567199393,0.0684534270650264,0.00246618277570962,"step","matern",0.144444444444444
"70","FOCR-D41-SABHA","FOCR (disjoint)","41","SABHA",NA,NA,0.00122950819672131,0.000194402315174286,0.0500878734622144,0.00205624671893339,"step","matern",0.144444444444444
"71","BH","BH","","",NA,NA,0.0390484252907287,0.0016646727187496,0.148022847100176,0.00317944993721614,"step","matern",0.188888888888889
"72","LAWS","LAWS","","",NA,NA,0.153418238379516,0.00275640142305031,0.592838312829525,0.00438350393062092,"step","matern",0.188888888888889
"73","SABHA","SABHA","","",NA,NA,0.135818360546563,0.00262045938693797,0.576537785588752,0.00487758049711398,"step","matern",0.188888888888889
"74","FOCR-O3-RAW","FOCR (overlap)","3","",0.0297959245377944,0.0014845713829203,0.0365946918725501,0.00157023246954753,0.136818980667838,0.00307089310561236,"step","matern",0.188888888888889
"75","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.0289040746182666,0.00184936779302918,0.0805799648506151,0.00213808949741961,"step","matern",0.188888888888889
"76","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.0263908945721887,0.00134649552102448,0.0972759226713533,0.00250913368241926,"step","matern",0.188888888888889
"77","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.0239360378151014,0.00134690271108569,0.0916520210896309,0.00247419008539651,"step","matern",0.188888888888889
"78","FOCR-D3-RAW","FOCR (disjoint)","3","",0.0305267759657957,0.00147629043931393,0.0338080122942584,0.00152595940367665,0.130052724077329,0.00294047187883598,"step","matern",0.188888888888889
"79","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.0233609707521306,0.00166554324772131,0.0726274165202109,0.00201896729580086,"step","matern",0.188888888888889
"80","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0.0209203177227064,0.00116267141933948,0.089323374340949,0.00241501191145828,"step","matern",0.188888888888889
"81","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0.0184425501264602,0.00117691111547748,0.0839191564147627,0.002349812155202,"step","matern",0.188888888888889
"82","FOCR-O11-RAW","FOCR (overlap)","11","",0.0272904636943414,0.00140061143437717,0.0573371645247681,0.00182942020874146,0.172934973637961,0.00378929593644009,"step","matern",0.188888888888889
"83","FOCR-O11-BH","FOCR (overlap)","11","BH",NA,NA,0.039357392403406,0.00181091962902002,0.157732864674868,0.00346063669281171,"step","matern",0.188888888888889
"84","FOCR-O11-LAWS","FOCR (overlap)","11","LAWS",NA,NA,0.0444486191061889,0.00183899906193538,0.159622144112478,0.00350183001788388,"step","matern",0.188888888888889
"85","FOCR-O11-SABHA","FOCR (overlap)","11","SABHA",NA,NA,0.035320447341533,0.00173518836550451,0.151845342706503,0.00339194366000135,"step","matern",0.188888888888889
"86","FOCR-D11-RAW","FOCR (disjoint)","11","",0.0291827612961514,0.00137570815902256,0.0456473211099759,0.00156110707337547,0.146616871704745,0.00318926456130533,"step","matern",0.188888888888889
"87","FOCR-D11-BH","FOCR (disjoint)","11","BH",NA,NA,0.0293508418218087,0.00146269192675908,0.128734622144112,0.00282590603270657,"step","matern",0.188888888888889
"88","FOCR-D11-LAWS","FOCR (disjoint)","11","LAWS",NA,NA,0.0310479027554869,0.00150111512949094,0.132644991212654,0.00291551958513556,"step","matern",0.188888888888889
"89","FOCR-D11-SABHA","FOCR (disjoint)","11","SABHA",NA,NA,0.0280126450996212,0.0015261391922594,0.12469244288225,0.00280759863704608,"step","matern",0.188888888888889
"90","FOCR-O21-RAW","FOCR (overlap)","21","",0.0313518612034058,0.00156136404889622,0.0837567583275382,0.0024804064780912,0.229261862917399,0.00488848770000722,"step","matern",0.188888888888889
"91","FOCR-O21-BH","FOCR (overlap)","21","BH",NA,NA,0.0481801181051095,0.00205094786853612,0.198462214411248,0.00411257031771429,"step","matern",0.188888888888889
"92","FOCR-O21-LAWS","FOCR (overlap)","21","LAWS",NA,NA,0.0523264916138293,0.00204419169000292,0.207293497363796,0.00435468881787939,"step","matern",0.188888888888889
"93","FOCR-O21-SABHA","FOCR (overlap)","21","SABHA",NA,NA,0.0435000037622253,0.00188105467500974,0.187653778558875,0.0041296630458548,"step","matern",0.188888888888889
"94","FOCR-D21-RAW","FOCR (disjoint)","21","",0.0278159340659341,0.0014819125223732,0.0626682510611082,0.0019285989185024,0.169903339191564,0.00363821314135917,"step","matern",0.188888888888889
"95","FOCR-D21-BH","FOCR (disjoint)","21","BH",NA,NA,0.0403761961965961,0.00172332942794071,0.156810193321617,0.0032889096300866,"step","matern",0.188888888888889
"96","FOCR-D21-LAWS","FOCR (disjoint)","21","LAWS",NA,NA,0.042348662623981,0.00168468365879467,0.158831282952548,0.00335199948365973,"step","matern",0.188888888888889
"97","FOCR-D21-SABHA","FOCR (disjoint)","21","SABHA",NA,NA,0.0345960995949424,0.00160248353415592,0.148242530755712,0.0032275202453901,"step","matern",0.188888888888889
"98","FOCR-O41-RAW","FOCR (overlap)","41","",0.0221267149459703,0.00126447529301287,0.116569462160392,0.00284074821192643,0.346485061511424,0.00625634707126253,"step","matern",0.188888888888889
"99","FOCR-O41-BH","FOCR (overlap)","41","BH",NA,NA,0.0407451740450406,0.00181565113591317,0.230096660808436,0.0040295023168949,"step","matern",0.188888888888889
"100","FOCR-O41-LAWS","FOCR (overlap)","41","LAWS",NA,NA,0.0497050723945551,0.00197704024757607,0.284666080843585,0.00530324681764879,"step","matern",0.188888888888889
"101","FOCR-O41-SABHA","FOCR (overlap)","41","SABHA",NA,NA,0.0449921666170107,0.00190570862480627,0.250659050966608,0.00512858768991328,"step","matern",0.188888888888889
"102","FOCR-D41-RAW","FOCR (disjoint)","41","",0.0371527777777778,0.00193191984706026,0.068314701897019,0.00218611351938285,0.272978910369069,0.00456250785223122,"step","matern",0.188888888888889
"103","FOCR-D41-BH","FOCR (disjoint)","41","BH",NA,NA,0.0395197807786176,0.00189393281535951,0.223330404217926,0.00359719371861122,"step","matern",0.188888888888889
"104","FOCR-D41-LAWS","FOCR (disjoint)","41","LAWS",NA,NA,0.0504682323222891,0.00209081264056218,0.24481546572935,0.00414380290940404,"step","matern",0.188888888888889
"105","FOCR-D41-SABHA","FOCR (disjoint)","41","SABHA",NA,NA,0.0341736870735756,0.00159964777014353,0.207776801405975,0.00428771897392999,"step","matern",0.188888888888889
"106","BH","BH","","",NA,NA,0.0338078345285297,0.00162588293953674,0.290289982425308,0.00427795761510988,"step","matern",0.233333333333333
"107","LAWS","LAWS","","",NA,NA,0.113606533655223,0.00212032250933396,0.640202108963093,0.00349914475180712,"step","matern",0.233333333333333
"108","SABHA","SABHA","","",NA,NA,0.0989996458796953,0.00205396511942408,0.639235500878735,0.00383265356621093,"step","matern",0.233333333333333
