"","nm","m1","bw","m2","focr","focr_se","fdr","fdr_se","pwr","pwr_se","mu_type","cov_type","snr"
"54","FOCR-D11-SABHA","FOCR (disjoint)","11","SABHA",NA,NA,0.0263911518195704,0.00225326701373114,0.0618629173989455,0.00193068482086825,"step","AR",0.144444444444444
"55","FOCR-O21-RAW","FOCR (overlap)","21","",0.0245087862137345,0.00191273496238961,0.0580468730046388,0.00219997519411699,0.179525483304042,0.00393228299270328,"step","AR",0.144444444444444
"56","FOCR-O21-BH","FOCR (overlap)","21","BH",NA,NA,0.0384852418622348,0.00214155565129409,0.12390158172232,0.00268997553537535,"step","AR",0.144444444444444
"57","FOCR-O21-LAWS","FOCR (overlap)","21","LAWS",NA,NA,0.0421791886599682,0.00212410259172853,0.143760984182777,0.0032164691251106,"step","AR",0.144444444444444
"58","FOCR-O21-SABHA","FOCR (overlap)","21","SABHA",NA,NA,0.0364883687295204,0.00233095977018663,0.111203866432337,0.00286563726962709,"step","AR",0.144444444444444
"59","FOCR-D21-RAW","FOCR (disjoint)","21","",0.0316666666666667,0.00282407991218863,0.0636628401360544,0.00325193202323654,0.119068541300527,0.0029568850042345,"step","AR",0.144444444444444
"60","FOCR-D21-BH","FOCR (disjoint)","21","BH",NA,NA,0.0454698807820391,0.00293318649518578,0.0969683655536028,0.00227713391495038,"step","AR",0.144444444444444
"61","FOCR-D21-LAWS","FOCR (disjoint)","21","LAWS",NA,NA,0.0423583935363443,0.00290680639071556,0.102943760984183,0.00258083072175412,"step","AR",0.144444444444444
"62","FOCR-D21-SABHA","FOCR (disjoint)","21","SABHA",NA,NA,0.0253277287443985,0.00240097438617179,0.0724516695957821,0.00238982612822083,"step","AR",0.144444444444444
"63","FOCR-O41-RAW","FOCR (overlap)","41","",0.0279826975142954,0.00204320744018384,0.0986283611938792,0.00291374302650766,0.280052724077329,0.00539801403792925,"step","AR",0.144444444444444
"64","FOCR-O41-BH","FOCR (overlap)","41","BH",NA,NA,0.0542373659718963,0.00267201518236411,0.114674868189807,0.00227134148092015,"step","AR",0.144444444444444
