"","nm","m1","bw","m2","focr","focr_se","fdr","fdr_se","pwr","pwr_se","mu_type","cov_type","snr"
"52","FOCR-D11-BH","FOCR (disjoint)","11","BH",NA,NA,0.00833333333333333,0.00131761569173682,0.0268014059753954,0.00040839288678019,"step","iid",0.144444444444444
"53","FOCR-D11-LAWS","FOCR (disjoint)","11","LAWS",NA,NA,0.00297370766488414,0.000364814364288803,0.0869507908611599,0.00102346627685301,"step","iid",0.144444444444444
"54","FOCR-D11-SABHA","FOCR (disjoint)","11","SABHA",NA,NA,0,0,0.0141915641476274,0.000316110846473298,"step","iid",0.144444444444444
"55","FOCR-O21-RAW","FOCR (overlap)","21","",0.00431754549869491,0.000204645788938785,0.113373327679612,0.000715374574893082,0.897539543057996,0.00125493420790142,"step","iid",0.144444444444444
"56","FOCR-O21-BH","FOCR (overlap)","21","BH",NA,NA,0.00400641025641026,0.000442522476650131,0.0263620386643234,0.000377696036142585,"step","iid",0.144444444444444
"57","FOCR-O21-LAWS","FOCR (overlap)","21","LAWS",NA,NA,0.001406229236751,0.000110465836137844,0.128383128295255,0.00107170666430965,"step","iid",0.144444444444444
"58","FOCR-O21-SABHA","FOCR (overlap)","21","SABHA",NA,NA,0.00238095238095238,0.000295320796640972,0.0374780316344464,0.000493227473001776,"step","iid",0.144444444444444
"59","FOCR-D21-RAW","FOCR (disjoint)","21","",0.00418376793352852,0.000323870736295817,0.0384603676479015,0.000447364621757888,0.771353251318102,0.00162121668065722,"step","iid",0.144444444444444
"60","FOCR-D21-BH","FOCR (disjoint)","21","BH",NA,NA,0.00358974358974359,0.000397229061149479,0.032469244288225,0.000448729453405357,"step","iid",0.144444444444444
"61","FOCR-D21-LAWS","FOCR (disjoint)","21","LAWS",NA,NA,0.000471698113207547,7.45820202869901e-05,0.105008787346221,0.00105127294499169,"step","iid",0.144444444444444
"62","FOCR-D21-SABHA","FOCR (disjoint)","21","SABHA",NA,NA,0,0,0.0259226713532513,0.000357878507917861,"step","iid",0.144444444444444
"63","FOCR-O41-RAW","FOCR (overlap)","41","",0.00123196787069619,0.000136908248276641,0.208689993350518,0.000764738913758468,0.932381370826011,0.00115878836789418,"step","iid",0.144444444444444
"64","FOCR-O41-BH","FOCR (overlap)","41","BH",NA,NA,0.00918162719633308,0.00064744338341963,0.0204305799648506,0.000361174141908386,"step","iid",0.144444444444444
"65","FOCR-O41-LAWS","FOCR (overlap)","41","LAWS",NA,NA,0.00152030250202196,0.000119610192417078,0.118585237258348,0.00100077406772342,"step","iid",0.144444444444444
"66","FOCR-O41-SABHA","FOCR (overlap)","41","SABHA",NA,NA,0.00672879153857415,0.000436389587035142,0.0368189806678383,0.000465296583366754,"step","iid",0.144444444444444
"67","FOCR-D41-RAW","FOCR (disjoint)","41","",0.00265167437298585,0.000322382742411119,0.0573417378525335,0.000896574794856963,0.805711775043937,0.00142371106885121,"step","iid",0.144444444444444
"68","FOCR-D41-BH","FOCR (disjoint)","41","BH",NA,NA,0.000925925925925926,0.000146401743526314,0.0311511423550088,0.000484887625255987,"step","iid",0.144444444444444
"69","FOCR-D41-LAWS","FOCR (disjoint)","41","LAWS",NA,NA,0,0,0.0954745166959578,0.000934552064345844,"step","iid",0.144444444444444
"70","FOCR-D41-SABHA","FOCR (disjoint)","41","SABHA",NA,NA,0.001,0.000158113883008419,0.0252636203866432,0.000403998366583497,"step","iid",0.144444444444444
"71","BH","BH","","",NA,NA,0.0293307167838955,0.000492040876597461,0.12280316344464,0.000746969987768854,"step","iid",0.188888888888889
"72","LAWS","LAWS","","",NA,NA,0.0281700997965421,0.000344603011209459,0.370386643233743,0.00164885493456178,"step","iid",0.188888888888889
"73","SABHA","SABHA","","",NA,NA,0.0390107074568135,0.000391418556599655,0.306370826010545,0.00138991390233983,"step","iid",0.188888888888889
"74","FOCR-O3-RAW","FOCR (overlap)","3","",0.0203689862824407,0.000296301976535197,0.0365052400386085,0.000383936690191317,0.655316344463972,0.00140555946641158,"step","iid",0.188888888888889
"75","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.0023382174391272,0.000165463978126824,0.103998242530756,0.000740828430845881,"step","iid",0.188888888888889
"76","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.00446391532793142,0.000185586531794298,0.34670474516696,0.00112330367755385,"step","iid",0.188888888888889
"77","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.00146915323910516,9.55810125186058e-05,0.2548769771529,0.00113293465629192,"step","iid",0.188888888888889
"78","FOCR-D3-RAW","FOCR (disjoint)","3","",0.020342281613494,0.000355194124085308,0.0256847309788653,0.000367835961617749,0.458347978910369,0.00138705528195428,"step","iid",0.188888888888889
"79","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0,0,0.0627855887521968,0.000645964397061161,"step","iid",0.188888888888889
"80","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0.00233552520829888,0.000141260569957652,0.203031634446397,0.000847011277384722,"step","iid",0.188888888888889
"81","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0.000316455696202532,5.00360389267149e-05,0.0993848857644991,0.000882273416038626,"step","iid",0.188888888888889
